Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Antonio Raillo,es ESP,DF,Mallorca,es La Liga,32.0,3207,36,2,0,2,2,0,2.0,1.6,2.0,3.7,31,108,20,7,1,0.056,0.0,0.056,21.6,0,1,Delantero Goleador,3.63,2.52,0.0
Antonio Raimondo,it ITA,FW,Venezia,it Serie A,20.0,94,9,0,0,0,0,0,0.3,0.1,0.3,0.4,2,2,7,0,0,0.0,0.0,0.3,25.8,0,0,Mediocampista Creativo,0.1,0.04,-0.3
Ylber Ramadani,al ALB,MF,Lecce,it Serie A,28.0,1807,29,1,1,2,1,0,0.6,1.1,0.6,1.7,9,60,7,4,0,0.05,0.05,0.03,27.2,1,0,Mediocampista Creativo,1.48,1.92,0.4
Benito Ramírez,es ESP,DF,Las Palmas,es La Liga,29.0,478,19,0,0,0,0,0,0.3,0.9,0.3,1.2,14,16,62,2,1,0.0,0.0,0.057,12.4,0,0,Mediocampista Creativo,0.93,0.25,-0.3
Sandro Ramírez,es ESP,FW,Las Palmas,es La Liga,29.0,2034,31,9,3,12,8,1,4.1,3.4,3.3,6.7,52,52,121,6,0,0.398,0.133,0.181,114.0,1,1,Delantero Goleador,7.62,10.33,4.9
Jacobo Ramón,es ESP,DF,Real Madrid,es La Liga,19.0,204,3,1,0,1,1,0,0.2,0.2,0.2,0.4,0,1,2,1,0,0.435,0.0,0.087,15.8,1,0,Mediocampista Creativo,0.07,0.73,0.8
Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,23.0,1066,22,10,3,13,8,2,13.6,2.2,11.3,13.4,11,24,63,1,0,0.847,0.254,1.153,145.2,0,0,Mediocampista Creativo,16.56,15.15,-3.6
Jacob Ramsey,eng ENG,FW,Aston Villa,eng Premier League,23.0,1623,29,1,3,4,1,0,1.6,2.3,1.6,3.9,61,68,114,4,1,0.056,0.167,0.089,47.8,0,1,Delantero Goleador,3.93,4.11,-0.6
Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,25.0,2981,35,0,3,3,0,0,1.1,1.7,1.1,2.7,25,80,11,7,0,0.0,0.091,0.033,18.7,0,1,Delantero Goleador,2.67,2.66,-1.1
Lilian Raolisoa,fr FRA,DF,Angers,fr Ligue 1,24.0,1318,29,0,3,3,0,0,0.7,2.0,0.7,2.7,33,47,62,1,2,0.0,0.205,0.048,18.2,0,0,Mediocampista Creativo,2.53,2.83,-0.7
